cod_proced,cod_cbo,natureza,especialidade,nivel_atencao
0301080267,251605,Ações Coletivas e Educativas,Assistência Social,CONTEXTUAL
0301040036,251605,Ações Coletivas e Educativas,Assistência Social,CONTEXTUAL
0101010028,223505,Ações Coletivas e Educativas,Saúde Mental / CAPS,ESPECIALIZADA
0101010028,251510,Ações Coletivas e Educativas,Saúde Mental / CAPS,ESPECIALIZADA
0101010028,251605,Ações Coletivas e Educativas,Assistência Social,ESPECIALIZADA
0301040036,223810,Ações Coletivas e Educativas,Ginecologia e Obstetrícia,CONTEXTUAL
0301040036,251510,Ações Coletivas e Educativas,Ginecologia e Obstetrícia,CONTEXTUAL
0301040036,223905,Ações Coletivas e Educativas,Terapia Ocupacional,CONTEXTUAL
0102010226,352210,Ações Coletivas e Educativas,Vigilância Sanitária,VIGILANCIA
0301080259,251605,Ações de Rede e Matriciamento,Assistência Social,CONTEXTUAL
0301080259,224140,Ações de Rede e Matriciamento,Saúde Mental / CAPS,CONTEXTUAL
0301080305,224140,Ações de Rede e Matriciamento,Saúde Mental / CAPS,APS
0301080305,322205,Ações de Rede e Matriciamento,Saúde Mental / CAPS,APS
0408040351,225270,Ações de Rede e Matriciamento,Ortopedia,CONTEXTUAL
0301080305,251605,Ações de Rede e Matriciamento,Assistência Social,APS
0301080330,322205,"Acolhimento, Visita e Intervenção Territorial",Enfermagem,CONTEXTUAL
0301080330,251605,"Acolhimento, Visita e Intervenção Territorial",Assistência Social,CONTEXTUAL
0301080321,224140,"Acolhimento, Visita e Intervenção Territorial",Saúde Mental / CAPS,CONTEXTUAL
0301080232,251605,"Acolhimento, Visita e Intervenção Territorial",Assistência Social,CONTEXTUAL
0101030029,251605,"Acolhimento, Visita e Intervenção Territorial",Assistência Social,CONTEXTUAL
0301080330,251510,"Acolhimento, Visita e Intervenção Territorial",Ginecologia e Obstetrícia,CONTEXTUAL
0301060029,225125,Consulta,Clínica Médica,URGENCIA
0301060029,225150,Consulta,Clínica Médica,URGENCIA
0301060029,225225,Consulta,Clínica Médica,URGENCIA
0301060061,225125,Consulta,Clínica Médica,URGENCIA
0301060096,225109,Consulta,Clínica Médica,URGENCIA
0301060096,225125,Consulta,Clínica Médica,URGENCIA
0301060096,225150,Consulta,Clínica Médica,URGENCIA
0301060096,225225,Consulta,Clínica Médica,URGENCIA
0301060096,225320,Consulta,Clínica Médica,URGENCIA
0301060100,225125,Consulta,Clínica Médica,CONTEXTUAL
0301060100,225225,Consulta,Clínica Médica,CONTEXTUAL
0301060100,225320,Consulta,Clínica Médica,CONTEXTUAL
0301060096,225170,Consulta,Clínica Médica,URGENCIA
0301010072,225125,Consulta,Clínica Médica,ESPECIALIZADA
0301010072,225170,Consulta,Clínica Médica,ESPECIALIZADA
0301010072,225225,Consulta,Clínica Médica,ESPECIALIZADA
0301060029,225250,Consulta,Ginecologia e Obstetrícia,URGENCIA
0301060061,225250,Consulta,Ginecologia e Obstetrícia,URGENCIA
0301060096,225250,Consulta,Ginecologia e Obstetrícia,URGENCIA
0301060100,225250,Consulta,Ginecologia e Obstetrícia,CONTEXTUAL
0301010072,225250,Consulta,Ginecologia e Obstetrícia,ESPECIALIZADA
0301060029,225270,Consulta,Ortopedia,URGENCIA
0301060061,225270,Consulta,Ortopedia,URGENCIA
0301060096,225270,Consulta,Ortopedia,URGENCIA
0301060100,225270,Consulta,Ortopedia,CONTEXTUAL
0301010072,225270,Consulta,Ortopedia,ESPECIALIZADA
0301060029,225124,Consulta,Pediatria,URGENCIA
0301060061,225124,Consulta,Pediatria,URGENCIA
0301060096,225124,Consulta,Pediatria,URGENCIA
0301060100,225124,Consulta,Pediatria,CONTEXTUAL
0301010072,225124,Consulta,Pediatria,ESPECIALIZADA
0301010048,251605,Consulta,Assistência Social,ESPECIALIZADA
0301060118,223505,Consulta,Enfermagem,CONTEXTUAL
0301010048,223505,Consulta,Enfermagem,ESPECIALIZADA
0302040021,223605,Consulta,Fisioterapia,CONTEXTUAL
0302050019,223605,Consulta,Fisioterapia,CONTEXTUAL
0302050027,223605,Consulta,Fisioterapia,CONTEXTUAL
0301010048,223605,Consulta,Fisioterapia,ESPECIALIZADA
0301010048,223710,Consulta,Nutrição,ESPECIALIZADA
0301010048,251510,Consulta,Ginecologia e Obstetrícia,ESPECIALIZADA
0205010032,225320,Exame de Imagem / Diagnóstico,Diagnóstico por Imagem,APOIO_DIAGNOSTICO
0205020038,225320,Exame de Imagem / Diagnóstico,Diagnóstico por Imagem,APOIO_DIAGNOSTICO
0205020046,225320,Exame de Imagem / Diagnóstico,Diagnóstico por Imagem,APOIO_DIAGNOSTICO
0205020054,225225,Exame de Imagem / Diagnóstico,Diagnóstico por Imagem,APOIO_DIAGNOSTICO
0205020054,225320,Exame de Imagem / Diagnóstico,Diagnóstico por Imagem,APOIO_DIAGNOSTICO
0205020062,225320,Exame de Imagem / Diagnóstico,Diagnóstico por Imagem,APOIO_DIAGNOSTICO
0205020070,225320,Exame de Imagem / Diagnóstico,Diagnóstico por Imagem,APOIO_DIAGNOSTICO
