cod_cbo,descricao
131210,GERENTE DE SERVICOS DE SAUDE
223208,CIRURGIAO DENTISTA  CLINICO GERAL
223293,CIRURGIAODENTISTA DA ESTRATEGIA DE SAUDE DA FAMILIA
223405,FARMACEUTICO
223505,ENFERMEIRO
223565,ENFERMEIRO DA ESTRATEGIA DE SAUDE DA FAMILIA
223605,FISIOTERAPEUTA GERAL
223710,NUTRICIONISTA
223810,FONOAUDIOLOGO GERAL
223905,TERAPEUTA OCUPACIONAL
224140,PROFISSIONAL DE EDUCACAO FISICA NA SAUDE
225120,MEDICO CARDIOLOGISTA
225124,MEDICO PEDIATRA
225125,MEDICO CLINICO
225130,MEDICO DE FAMILIA E COMUNIDADE
225142,MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA
225170,MEDICO GENERALISTA
225250,MEDICO GINECOLOGISTA E OBSTETRA
251510,PSICOLOGO CLINICO
251605,ASSISTENTE SOCIAL
322205,TECNICO DE ENFERMAGEM
322230,AUXILIAR DE ENFERMAGEM
322245,TECNICO DE ENFERMAGEM DA ESTRATEGIA DE SAUDE DA FAMILIA
322415,AUXILIAR EM SAUDE BUCAL
322430,AUXILIAR EM SAUDE BUCAL DA ESTRATEGIA DE SAUDE DA FAMILIA
411005,AUXILIAR DE ESCRITORIO
411010,ASSISTENTE ADMINISTRATIVO
422105,"RECEPCIONISTA, EM GERAL"
515105,AGENTE COMUNITARIO DE SAUDE
515310,AGENTE DE ACAO SOCIAL
521130,ATENDENTE DE FARMACIA  BALCONISTA
