cod_cnes,competencia,cod_proced,cod_cbo,qtd_apresentada,qtd_aprovada,val_apresentado,val_aprovado,situacao
2039745,2026-04-01,0101010010,223810,2,2,0.00,0.00,
2039745,2026-04-01,0101010010,251510,4,4,0.00,0.00,
2039745,2026-04-01,0101010028,223810,6,6,16.20,16.20,
2039745,2026-04-01,0201020033,223505,1,1,0.00,0.00,
2039745,2026-04-01,0201020041,223505,10,10,0.00,0.00,
2039745,2026-04-01,0201020041,322205,177,177,0.00,0.00,
2039745,2026-04-01,0202030245,223505,90,90,0.00,0.00,
2039745,2026-04-01,0202030245,322205,1,1,0.00,0.00,
2039745,2026-04-01,0214010058,223505,25,25,25.00,25.00,
2039745,2026-04-01,0214010058,322205,106,106,106.00,106.00,
2039745,2026-04-01,0214010074,223505,28,28,28.00,28.00,
2039745,2026-04-01,0214010074,322205,88,88,88.00,88.00,
2039745,2026-04-01,0214010198,223505,3,3,0.00,0.00,
2039745,2026-04-01,0214010210,223505,2,2,0.00,0.00,
2039745,2026-04-01,0214010228,223505,19,19,0.00,0.00,
2039745,2026-04-01,0214010228,322205,12,12,0.00,0.00,
2039745,2026-04-01,0214010244,223505,1,1,0.00,0.00,
2039745,2026-04-01,0214010287,223505,1,1,1.00,1.00,
2039745,2026-04-01,0214010295,223505,31,31,0.00,0.00,
2039745,2026-04-01,0214010295,322205,98,98,0.00,0.00,
2039745,2026-04-01,0301010048,223505,336,336,2116.80,2116.80,
2039745,2026-04-01,0301010048,251510,20,20,126.00,126.00,
2039745,2026-04-01,0301010072,225103,296,296,2960.00,2960.00,
2039745,2026-04-01,0301040036,223810,6,6,36.90,36.90,
2039745,2026-04-01,0301040079,225103,113,113,0.00,0.00,
2039745,2026-04-01,0301040079,322205,1,1,0.00,0.00,
2039745,2026-04-01,0301100012,223505,2,2,1.26,1.26,
2039745,2026-04-01,0301100039,223505,1,1,0.00,0.00,
2039745,2026-04-01,0301100039,225103,58,58,0.00,0.00,
2039745,2026-04-01,0301100039,322205,1,1,0.00,0.00,
2039745,2026-04-01,0301100195,322205,4,4,0.00,0.00,
2039745,2026-04-01,0301100209,223505,4,4,0.00,0.00,
2039745,2026-04-01,0301100209,322205,12,12,0.00,0.00,
2039745,2026-04-01,0301100217,223505,9,9,0.00,0.00,
2039745,2026-04-01,0301100217,322205,5,5,0.00,0.00,
2039745,2026-04-01,0301100241,223505,3,3,0.00,0.00,
2039745,2026-04-01,0301100241,322205,6,6,0.00,0.00,
2066327,2026-04-01,0202010040,223415,3,3,10.89,10.89,
2066327,2026-04-01,0202010074,223415,53,53,530.00,530.00,
2066327,2026-04-01,0202010112,223415,4,4,8.04,8.04,
2066327,2026-04-01,0202010120,223415,1465,1465,2710.25,2710.25,
2066327,2026-04-01,0202010163,223415,2,2,7.36,7.36,
2066327,2026-04-01,0202010180,223415,75,75,168.75,168.75,
2066327,2026-04-01,0202010201,223415,198,198,397.98,397.98,
2066327,2026-04-01,0202010210,223415,326,326,603.10,603.10,
2066327,2026-04-01,0202010228,223415,15,15,52.65,52.65,
2066327,2026-04-01,0202010279,223415,3447,3447,12098.97,12098.97,
2066327,2026-04-01,0202010287,223415,3447,3447,12098.97,12098.97,
2066327,2026-04-01,0202010295,223415,3497,3497,6469.45,6469.45,
2066327,2026-04-01,0202010317,223415,3445,3445,6373.25,6373.25,
2066327,2026-04-01,0202010325,223415,877,877,3227.36,3227.36,
2066327,2026-04-01,0202010333,223415,1,1,4.12,4.12,
2066327,2026-04-01,0202010368,223415,8,8,29.44,29.44,
2066327,2026-04-01,0202010384,223415,1473,1473,22964.07,22964.07,
2066327,2026-04-01,0202010392,223415,852,852,2990.52,2990.52,
2066327,2026-04-01,0202010406,223415,28,28,438.20,438.20,
2066327,2026-04-01,0202010422,223415,212,212,426.12,426.12,
2066327,2026-04-01,0202010430,223415,94,94,173.90,173.90,
2066327,2026-04-01,0202010465,223415,419,419,1470.69,1470.69,
2066327,2026-04-01,0202010473,223415,3889,3889,7194.65,7194.65,
2066327,2026-04-01,0202010503,223415,3483,3483,27376.38,27376.38,
2066327,2026-04-01,0202010554,223415,59,59,132.75,132.75,
2066327,2026-04-01,0202010562,223415,233,233,468.33,468.33,
2066327,2026-04-01,0202010600,223415,2396,2396,4432.60,4432.60,
2066327,2026-04-01,0202010619,223415,35,35,49.00,49.00,
2066327,2026-04-01,0202010627,223415,70,70,129.50,129.50,
2066327,2026-04-01,0202010635,223415,2045,2045,3783.25,3783.25,
2066327,2026-04-01,0202010643,223415,2485,2485,4994.85,4994.85,
2066327,2026-04-01,0202010651,223415,2486,2486,4996.86,4996.86,
